N 	 Seq 	 NoS 	 Max Length 	 UPGA 	 single 	 NeighborJoin 	 Sorted 	 TSP1 	 TSP2
1 	 data_Read/seqs/real/Real01.faa 	 898 	 0 	 1959 	 1626 	 1804 	 1655 	 1655 	 1655
2 	 data_Read/seqs/real/Real02.faa 	 237 	 0 	 4745 	 4702 	 4780 	 4026 	 4026 	 4026
3 	 data_Read/seqs/real/Real03.faa 	 21 	 0 	 1348 	 1261 	 1369 	 1284 	 1284 	 1284
4 	 data_Read/seqs/real/Real04.faa 	 21 	 0 	 6462 	 6431 	 6455 	 6489 	 6489 	 6489
5 	 data_Read/seqs/real/Real05.faa 	 536 	 0 	 2613 	 2363 	 2644 	 1949 	 1949 	 1949
6 	 data_Read/seqs/real/Real06.faa 	 28 	 0 	 5277 	 5276 	 5529 	 5274 	 5274 	 5274
7 	 data_Read/seqs/real/Real07.faa 	 118 	 0 	 1959 	 1964 	 2017 	 1990 	 1990 	 1990
8 	 data_Read/seqs/real/Real08.faa 	 135 	 0 	 7459 	 6778 	 7893 	 6832 	 6832 	 6832
9 	 data_Read/seqs/real/Real09.faa 	 16 	 0 	 4005 	 3996 	 3981 	 4170 	 4170 	 4170
10 	 data_Read/seqs/real/Real10.faa 	 267 	 0 	 2586 	 2317 	 2969 	 2001 	 2001 	 2001
11 	 data_Read/seqs/real/Real11.faa 	 503 	 0 	 1919 	 1921 	 2046 	 1964 	 1964 	 1964
12 	 data_Read/seqs/real/Real12.faa 	 35 	 0 	 6461 	 6396 	 6457 	 6283 	 6283 	 6283
13 	 data_Read/seqs/real/Real13.faa 	 233 	 0 	 2720 	 2721 	 2720 	 2720 	 2720 	 2720
14 	 data_Read/seqs/real/Real14.faa 	 207 	 0 	 10177 	 9334 	 10639 	 10321 	 10321 	 10321
15 	 data_Read/seqs/real/Real15.faa 	 31 	 0 	 986 	 886 	 1022 	 933 	 933 	 933
16 	 data_Read/seqs/real/Real16.faa 	 38 	 0 	 6146 	 6157 	 6138 	 5807 	 5807 	 5807
17 	 data_Read/seqs/real/Real17.faa 	 408 	 0 	 2277 	 1964 	 2524 	 1877 	 1877 	 1877
18 	 data_Read/seqs/real/Real18.faa 	 18 	 0 	 3943 	 3938 	 3935 	 3859 	 3859 	 3859
19 	 data_Read/seqs/real/Real19.faa 	 117 	 0 	 6979 	 6980 	 6971 	 7021 	 7021 	 7021
20 	 data_Read/seqs/real/Real20.faa 	 27 	 0 	 1212 	 1182 	 1216 	 1194 	 1194 	 1194
21 	 data_Read/seqs/real/Real21.faa 	 31 	 0 	 4875 	 4896 	 5001 	 4995 	 4995 	 4995
22 	 data_Read/seqs/real/Real22.faa 	 44 	 0 	 1684 	 1691 	 1781 	 1741 	 1741 	 1741
23 	 data_Read/seqs/real/Real23.faa 	 46 	 0 	 5699 	 5530 	 5866 	 5739 	 5739 	 5739
24 	 data_Read/seqs/real/Real24.faa 	 24 	 0 	 901 	 875 	 934 	 870 	 870 	 870
25 	 data_Read/seqs/real/Real25.faa 	 24 	 0 	 3627 	 3489 	 3564 	 3379 	 3379 	 3379
26 	 data_Read/seqs/real/Real26.faa 	 126 	 0 	 5838 	 5822 	 5894 	 5849 	 5849 	 5849
27 	 data_Read/seqs/real/Real27.faa 	 100 	 0 	 5429 	 4967 	 5566 	 5006 	 5006 	 5006
28 	 data_Read/seqs/real/Real28.faa 	 76 	 0 	 5883 	 5816 	 6220 	 5998 	 5998 	 5998
29 	 data_Read/seqs/real/Real29.faa 	 195 	 0 	 2800 	 2226 	 2841 	 2255 	 2255 	 2255
30 	 data_Read/seqs/real/Real30.faa 	 644 	 0 	 5373 	 4733 	 4732 	 5508 	 5508 	 5508
31 	 data_Read/seqs/real/Real31.faa 	 124 	 0 	 1235 	 1008 	 1286 	 1103 	 1103 	 1103
32 	 data_Read/seqs/real/Real32.faa 	 18 	 0 	 594 	 570 	 655 	 584 	 584 	 584
33 	 data_Read/seqs/real/Real33.faa 	 19 	 0 	 2440 	 2461 	 2374 	 2398 	 2398 	 2398
34 	 data_Read/seqs/real/Real34.faa 	 110 	 0 	 1528 	 1300 	 1527 	 1331 	 1331 	 1331
