N 	 Seq 	 NoS 	 Max Length 	 UPGA 	 single 	 NeighborJoin 	 Sorted 	 TSP1 	 TSP2
6 	 data_Read/seqs/real/Real06.faa 	 28 	 0 	 5361 	 5361 	 5361 	 5361 	 5361 	 5361
7 	 data_Read/seqs/real/Real07.faa 	 118 	 0 	 1970 	 1970 	 1970 	 1970 	 1970 	 1970
8 	 data_Read/seqs/real/Real08.faa 	 135 	 0 	 7115 	 7115 	 7115 	 7115 	 7115 	 7115
9 	 data_Read/seqs/real/Real09.faa 	 16 	 0 	 3993 	 3993 	 3993 	 3993 	 3993 	 3993
10 	 data_Read/seqs/real/Real10.faa 	 267 	 0 	 1983 	 1983 	 1983 	 1983 	 1983 	 1983
11 	 data_Read/seqs/real/Real11.faa 	 503 	 0 	 1950 	 1950 	 1950 	 1950 	 1950 	 1950
12 	 data_Read/seqs/real/Real12.faa 	 35 	 0 	 6531 	 6531 	 6531 	 6531 	 6531 	 6531
13 	 data_Read/seqs/real/Real13.faa 	 233 	 0 	 2721 	 2721 	 2721 	 2721 	 2721 	 2721
14 	 data_Read/seqs/real/Real14.faa 	 207 	 0 	 9559 	 9559 	 9559 	 9559 	 9559 	 9559
15 	 data_Read/seqs/real/Real15.faa 	 31 	 0 	 941 	 941 	 941 	 941 	 941 	 941
16 	 data_Read/seqs/real/Real16.faa 	 38 	 0 	 5832 	 5832 	 5832 	 5832 	 5832 	 5832
17 	 data_Read/seqs/real/Real17.faa 	 408 	 0 	 3074 	 3074 	 3074 	 3074 	 3074 	 3074
18 	 data_Read/seqs/real/Real18.faa 	 18 	 0 	 3852 	 3852 	 3852 	 3852 	 3852 	 3852
19 	 data_Read/seqs/real/Real19.faa 	 117 	 0 	 6966 	 6966 	 6966 	 6966 	 6966 	 6966
20 	 data_Read/seqs/real/Real20.faa 	 27 	 0 	 1159 	 1159 	 1159 	 1159 	 1159 	 1159
21 	 data_Read/seqs/real/Real21.faa 	 31 	 0 	 4927 	 4927 	 4927 	 4927 	 4927 	 4927
22 	 data_Read/seqs/real/Real22.faa 	 44 	 0 	 1705 	 1705 	 1705 	 1705 	 1705 	 1705
23 	 data_Read/seqs/real/Real23.faa 	 46 	 0 	 5508 	 5508 	 5508 	 5508 	 5508 	 5508
24 	 data_Read/seqs/real/Real24.faa 	 24 	 0 	 870 	 870 	 870 	 870 	 870 	 870
25 	 data_Read/seqs/real/Real25.faa 	 24 	 0 	 3371 	 3371 	 3371 	 3371 	 3371 	 3371
26 	 data_Read/seqs/real/Real26.faa 	 126 	 0 	 5832 	 5832 	 5832 	 5832 	 5832 	 5832
27 	 data_Read/seqs/real/Real27.faa 	 100 	 0 	 4867 	 4867 	 4867 	 4867 	 4867 	 4867
28 	 data_Read/seqs/real/Real28.faa 	 76 	 0 	 5829 	 5829 	 5829 	 5829 	 5829 	 5829
29 	 data_Read/seqs/real/Real29.faa 	 195 	 0 	 2323 	 2323 	 2323 	 2323 	 2323 	 2323
30 	 data_Read/seqs/real/Real30.faa 	 644 	 0 	 4732 	 4732 	 4732 	 4732 	 4732 	 4732
31 	 data_Read/seqs/real/Real31.faa 	 124 	 0 	 1059 	 1059 	 1059 	 1059 	 1059 	 1059
32 	 data_Read/seqs/real/Real32.faa 	 18 	 0 	 564 	 564 	 564 	 564 	 564 	 564
33 	 data_Read/seqs/real/Real33.faa 	 19 	 0 	 2415 	 2415 	 2415 	 2415 	 2415 	 2415
34 	 data_Read/seqs/real/Real34.faa 	 110 	 0 	 1322 	 1322 	 1322 	 1322 	 1322 	 1322
35 	 data_Read/seqs/real/Real35.faa 	 536 	 0 	 1946 	 1946 	 1946 	 1946 	 1946 	 1946
