N 	 Seq 	 NoS 	 Max Length 	 UPGA 	 single 	 NeighborJoin 	 Sorted 	 TSP1 	 TSP2
1 	 data_Read/seqs/real/Real01.faa 	 898 	 0 	 2442464 	 4763508 	 3421175 	 8268588 	 8268588 	 8268588
2 	 data_Read/seqs/real/Real02.faa 	 237 	 0 	 15808398 	 15842811 	 15791795 	 16039622 	 16039622 	 16039622
3 	 data_Read/seqs/real/Real03.faa 	 21 	 0 	 11393 	 12702 	 12418 	 13673 	 13673 	 13673
4 	 data_Read/seqs/real/Real04.faa 	 21 	 0 	 173756 	 186961 	 176943 	 196307 	 196307 	 196307
5 	 data_Read/seqs/real/Real05.faa 	 536 	 0 	 1157632 	 2004663 	 1164406 	 3340256 	 3340256 	 3340256
6 	 data_Read/seqs/real/Real06.faa 	 28 	 0 	 276324 	 299969 	 281677 	 331963 	 331963 	 331963
7 	 data_Read/seqs/real/Real07.faa 	 118 	 0 	 309752 	 354226 	 314233 	 440475 	 440475 	 440475
8 	 data_Read/seqs/real/Real08.faa 	 135 	 0 	 4283585 	 5255672 	 4381650 	 5901962 	 5901962 	 5901962
9 	 data_Read/seqs/real/Real09.faa 	 16 	 0 	 86817 	 87957 	 87633 	 95701 	 95701 	 95701
10 	 data_Read/seqs/real/Real10.faa 	 267 	 0 	 484669 	 599044 	 517180 	 683589 	 683589 	 683589
11 	 data_Read/seqs/real/Real11.faa 	 503 	 0 	 3871356 	 4341563 	 3517561 	 5157986 	 5157986 	 5157986
12 	 data_Read/seqs/real/Real12.faa 	 35 	 0 	 395375 	 443729 	 410430 	 458912 	 458912 	 458912
13 	 data_Read/seqs/real/Real13.faa 	 233 	 0 	 355247 	 522927 	 346443 	 804438 	 804438 	 804438
14 	 data_Read/seqs/real/Real14.faa 	 207 	 0 	 5926077 	 8035926 	 6132231 	 8253775 	 8253775 	 8253775
15 	 data_Read/seqs/real/Real15.faa 	 31 	 0 	 16747 	 19574 	 14237 	 21027 	 21027 	 21027
16 	 data_Read/seqs/real/Real16.faa 	 38 	 0 	 392727 	 438003 	 418730 	 468757 	 468757 	 468757
17 	 data_Read/seqs/real/Real17.faa 	 408 	 0 	 1333885 	 2805038 	 1268741 	 3575982 	 3575982 	 3575982
18 	 data_Read/seqs/real/Real18.faa 	 18 	 0 	 79562 	 80393 	 80659 	 86673 	 86673 	 86673
19 	 data_Read/seqs/real/Real19.faa 	 117 	 0 	 3280783 	 4005033 	 3326823 	 4293242 	 4293242 	 4293242
20 	 data_Read/seqs/real/Real20.faa 	 27 	 0 	 16283 	 18400 	 18262 	 18947 	 18947 	 18947
21 	 data_Read/seqs/real/Real21.faa 	 31 	 0 	 230730 	 249768 	 252422 	 260459 	 260459 	 260459
22 	 data_Read/seqs/real/Real22.faa 	 44 	 0 	 45488 	 49297 	 41742 	 56119 	 56119 	 56119
23 	 data_Read/seqs/real/Real23.faa 	 46 	 0 	 572563 	 632060 	 640416 	 676404 	 676404 	 676404
24 	 data_Read/seqs/real/Real24.faa 	 24 	 0 	 10611 	 12296 	 9994 	 13339 	 13339 	 13339
25 	 data_Read/seqs/real/Real25.faa 	 24 	 0 	 153919 	 165578 	 165472 	 183849 	 183849 	 183849
26 	 data_Read/seqs/real/Real26.faa 	 126 	 0 	 3113338 	 4108543 	 3252332 	 4294035 	 4294035 	 4294035
27 	 data_Read/seqs/real/Real27.faa 	 100 	 0 	 2133176 	 2524886 	 2334677 	 2866489 	 2866489 	 2866489
28 	 data_Read/seqs/real/Real28.faa 	 76 	 0 	 1378922 	 1605658 	 1471718 	 1726975 	 1726975 	 1726975
29 	 data_Read/seqs/real/Real29.faa 	 195 	 0 	 296065 	 350825 	 295480 	 515435 	 515435 	 515435
30 	 data_Read/seqs/real/Real30.faa 	 644 	 0 	 6577498 	 9057922 	 7049293 	 9855898 	 9855898 	 9855898
31 	 data_Read/seqs/real/Real31.faa 	 124 	 0 	 99393 	 146312 	 119685 	 211388 	 211388 	 211388
32 	 data_Read/seqs/real/Real32.faa 	 18 	 0 	 3881 	 4073 	 3587 	 5136 	 5136 	 5136
33 	 data_Read/seqs/real/Real33.faa 	 19 	 0 	 68984 	 70704 	 70390 	 77594 	 77594 	 77594
34 	 data_Read/seqs/real/Real34.faa 	 110 	 0 	 87262 	 112610 	 84837 	 160942 	 160942 	 160942
