N 	 Seq 	 NoS 	 Max Length 	 UPGA 	 single 	 NeighborJoin 	 Sorted 	 TSP1 	 TSP2
6 	 data_Read/seqs/real/Real06.faa 	 28 	 0 	 314431 	 314431 	 314431 	 314431 	 314431 	 314431
7 	 data_Read/seqs/real/Real07.faa 	 118 	 0 	 434938 	 434938 	 434938 	 434938 	 434938 	 434938
8 	 data_Read/seqs/real/Real08.faa 	 135 	 0 	 5711094 	 5711094 	 5711094 	 5711094 	 5711094 	 5711094
9 	 data_Read/seqs/real/Real09.faa 	 16 	 0 	 94502 	 94502 	 94502 	 94502 	 94502 	 94502
10 	 data_Read/seqs/real/Real10.faa 	 267 	 0 	 1092498 	 1092498 	 1092498 	 1092498 	 1092498 	 1092498
11 	 data_Read/seqs/real/Real11.faa 	 503 	 0 	 5729756 	 5729756 	 5729756 	 5729756 	 5729756 	 5729756
12 	 data_Read/seqs/real/Real12.faa 	 35 	 0 	 462530 	 462530 	 462530 	 462530 	 462530 	 462530
13 	 data_Read/seqs/real/Real13.faa 	 233 	 0 	 789706 	 789706 	 789706 	 789706 	 789706 	 789706
14 	 data_Read/seqs/real/Real14.faa 	 207 	 0 	 8786839 	 8786839 	 8786839 	 8786839 	 8786839 	 8786839
15 	 data_Read/seqs/real/Real15.faa 	 31 	 0 	 21300 	 21300 	 21300 	 21300 	 21300 	 21300
16 	 data_Read/seqs/real/Real16.faa 	 38 	 0 	 463469 	 463469 	 463469 	 463469 	 463469 	 463469
17 	 data_Read/seqs/real/Real17.faa 	 408 	 0 	 1920588 	 1920588 	 1920588 	 1920588 	 1920588 	 1920588
18 	 data_Read/seqs/real/Real18.faa 	 18 	 0 	 83457 	 83457 	 83457 	 83457 	 83457 	 83457
19 	 data_Read/seqs/real/Real19.faa 	 117 	 0 	 4263751 	 4263751 	 4263751 	 4263751 	 4263751 	 4263751
20 	 data_Read/seqs/real/Real20.faa 	 27 	 0 	 19306 	 19306 	 19306 	 19306 	 19306 	 19306
21 	 data_Read/seqs/real/Real21.faa 	 31 	 0 	 272703 	 272703 	 272703 	 272703 	 272703 	 272703
22 	 data_Read/seqs/real/Real22.faa 	 44 	 0 	 53332 	 53332 	 53332 	 53332 	 53332 	 53332
23 	 data_Read/seqs/real/Real23.faa 	 46 	 0 	 690276 	 690276 	 690276 	 690276 	 690276 	 690276
24 	 data_Read/seqs/real/Real24.faa 	 24 	 0 	 12215 	 12215 	 12215 	 12215 	 12215 	 12215
25 	 data_Read/seqs/real/Real25.faa 	 24 	 0 	 185253 	 185253 	 185253 	 185253 	 185253 	 185253
26 	 data_Read/seqs/real/Real26.faa 	 126 	 0 	 4352324 	 4352324 	 4352324 	 4352324 	 4352324 	 4352324
27 	 data_Read/seqs/real/Real27.faa 	 100 	 0 	 2892747 	 2892747 	 2892747 	 2892747 	 2892747 	 2892747
28 	 data_Read/seqs/real/Real28.faa 	 76 	 0 	 1814983 	 1814983 	 1814983 	 1814983 	 1814983 	 1814983
29 	 data_Read/seqs/real/Real29.faa 	 195 	 0 	 515111 	 515111 	 515111 	 515111 	 515111 	 515111
30 	 data_Read/seqs/real/Real30.faa 	 644 	 0 	 11335394 	 11335394 	 11335394 	 11335394 	 11335394 	 11335394
31 	 data_Read/seqs/real/Real31.faa 	 124 	 0 	 208369 	 208369 	 208369 	 208369 	 208369 	 208369
32 	 data_Read/seqs/real/Real32.faa 	 18 	 0 	 4840 	 4840 	 4840 	 4840 	 4840 	 4840
33 	 data_Read/seqs/real/Real33.faa 	 19 	 0 	 78057 	 78057 	 78057 	 78057 	 78057 	 78057
34 	 data_Read/seqs/real/Real34.faa 	 110 	 0 	 161393 	 161393 	 161393 	 161393 	 161393 	 161393
35 	 data_Read/seqs/real/Real35.faa 	 536 	 0 	 3350219 	 3350219 	 3350219 	 3350219 	 3350219 	 3350219
