N 	 Seq 	 NoS 	 Max Length 	 UPGA 	 single 	 NeighborJoin 	 Sorted 	 TSP1 	 TSP2
1 	 data_Read/seqs/real/Real01.faa 	 898 	 0 	 -142523088 	 -126315814 	 -134402292 	 -118119999 	 -118119999 	 -118119999
2 	 data_Read/seqs/real/Real02.faa 	 237 	 0 	 -33293391 	 -33101406 	 -33355966 	 -32089848 	 -32089848 	 -32089848
3 	 data_Read/seqs/real/Real03.faa 	 21 	 0 	 -128976 	 -122415 	 -123756 	 -118587 	 -118587 	 -118587
4 	 data_Read/seqs/real/Real04.faa 	 21 	 0 	 -309000 	 -274034 	 -312571 	 -266940 	 -266940 	 -266940
5 	 data_Read/seqs/real/Real05.faa 	 536 	 0 	 -48422862 	 -44718577 	 -47950835 	 -41657279 	 -41657279 	 -41657279
6 	 data_Read/seqs/real/Real06.faa 	 28 	 0 	 -552519 	 -503351 	 -570995 	 -427581 	 -427581 	 -427581
7 	 data_Read/seqs/real/Real07.faa 	 118 	 0 	 -4358519 	 -4141859 	 -4332308 	 -3940767 	 -3940767 	 -3940767
8 	 data_Read/seqs/real/Real08.faa 	 135 	 0 	 -13384128 	 -10699662 	 -13977140 	 -9448444 	 -9448444 	 -9448444
9 	 data_Read/seqs/real/Real09.faa 	 16 	 0 	 -101230 	 -97476 	 -99297 	 -92015 	 -92015 	 -92015
10 	 data_Read/seqs/real/Real10.faa 	 267 	 0 	 -19483390 	 -19146707 	 -19462127 	 -18891566 	 -18891566 	 -18891566
11 	 data_Read/seqs/real/Real11.faa 	 503 	 0 	 -53667376 	 -49551353 	 -56747624 	 -49329536 	 -49329536 	 -49329536
12 	 data_Read/seqs/real/Real12.faa 	 35 	 0 	 -892612 	 -783885 	 -834381 	 -778168 	 -778168 	 -778168
13 	 data_Read/seqs/real/Real13.faa 	 233 	 0 	 -12952986 	 -11877690 	 -13036768 	 -11197805 	 -11197805 	 -11197805
14 	 data_Read/seqs/real/Real14.faa 	 207 	 0 	 -32364856 	 -25950595 	 -32733990 	 -27193151 	 -27193151 	 -27193151
15 	 data_Read/seqs/real/Real15.faa 	 31 	 0 	 -190255 	 -178685 	 -204223 	 -179416 	 -179416 	 -179416
16 	 data_Read/seqs/real/Real16.faa 	 38 	 0 	 -928216 	 -808198 	 -959023 	 -762358 	 -762358 	 -762358
17 	 data_Read/seqs/real/Real17.faa 	 408 	 0 	 -52249519 	 -43821648 	 -53075385 	 -42742261 	 -42742261 	 -42742261
18 	 data_Read/seqs/real/Real18.faa 	 18 	 0 	 -156976 	 -157776 	 -154563 	 -147043 	 -147043 	 -147043
19 	 data_Read/seqs/real/Real19.faa 	 117 	 0 	 -9869902 	 -7972916 	 -9748873 	 -7602939 	 -7602939 	 -7602939
20 	 data_Read/seqs/real/Real20.faa 	 27 	 0 	 -167478 	 -161125 	 -166364 	 -160752 	 -160752 	 -160752
21 	 data_Read/seqs/real/Real21.faa 	 31 	 0 	 -481274 	 -435969 	 -460727 	 -440263 	 -440263 	 -440263
22 	 data_Read/seqs/real/Real22.faa 	 44 	 0 	 -525386 	 -509893 	 -540973 	 -508256 	 -508256 	 -508256
23 	 data_Read/seqs/real/Real23.faa 	 46 	 0 	 -1447160 	 -1327145 	 -1350227 	 -1275133 	 -1275133 	 -1275133
24 	 data_Read/seqs/real/Real24.faa 	 24 	 0 	 -118125 	 -112477 	 -122640 	 -111193 	 -111193 	 -111193
25 	 data_Read/seqs/real/Real25.faa 	 24 	 0 	 -277897 	 -242824 	 -260307 	 -208365 	 -208365 	 -208365
26 	 data_Read/seqs/real/Real26.faa 	 126 	 0 	 -10035182 	 -7494668 	 -9872698 	 -7231983 	 -7231983 	 -7231983
27 	 data_Read/seqs/real/Real27.faa 	 100 	 0 	 -6897746 	 -5901467 	 -6757389 	 -5219049 	 -5219049 	 -5219049
28 	 data_Read/seqs/real/Real28.faa 	 76 	 0 	 -4334603 	 -3778940 	 -4038219 	 -3596558 	 -3596558 	 -3596558
29 	 data_Read/seqs/real/Real29.faa 	 195 	 0 	 -8822833 	 -8404489 	 -8717013 	 -8224582 	 -8224582 	 -8224582
30 	 data_Read/seqs/real/Real30.faa 	 644 	 0 	 -57257611 	 -50244649 	 -55199578 	 -49296960 	 -49296960 	 -49296960
31 	 data_Read/seqs/real/Real31.faa 	 124 	 0 	 -2933740 	 -2633563 	 -2812836 	 -2559970 	 -2559970 	 -2559970
32 	 data_Read/seqs/real/Real32.faa 	 18 	 0 	 -43724 	 -41981 	 -45651 	 -40398 	 -40398 	 -40398
33 	 data_Read/seqs/real/Real33.faa 	 19 	 0 	 -100167 	 -94268 	 -93922 	 -84330 	 -84330 	 -84330
34 	 data_Read/seqs/real/Real34.faa 	 110 	 0 	 -2337085 	 -2177805 	 -2309602 	 -2112704 	 -2112704 	 -2112704
