N 	 Seq 	 NoS 	 Max Length 	 UPGA 	 single 	 NeighborJoin 	 Sorted 	 TSP1 	 TSP2
6 	 data_Read/seqs/real/Real06.faa 	 28 	 0 	 -477481 	 -477481 	 -477481 	 -477481 	 -477481 	 -477481
7 	 data_Read/seqs/real/Real07.faa 	 118 	 0 	 -3925419 	 -3925419 	 -3925419 	 -3925419 	 -3925419 	 -3925419
8 	 data_Read/seqs/real/Real08.faa 	 135 	 0 	 -10203670 	 -10203670 	 -10203670 	 -10203670 	 -10203670 	 -10203670
9 	 data_Read/seqs/real/Real09.faa 	 16 	 0 	 -91816 	 -91816 	 -91816 	 -91816 	 -91816 	 -91816
10 	 data_Read/seqs/real/Real10.faa 	 267 	 0 	 -17220682 	 -17220682 	 -17220682 	 -17220682 	 -17220682 	 -17220682
11 	 data_Read/seqs/real/Real11.faa 	 503 	 0 	 -46743623 	 -46743623 	 -46743623 	 -46743623 	 -46743623 	 -46743623
12 	 data_Read/seqs/real/Real12.faa 	 35 	 0 	 -810280 	 -810280 	 -810280 	 -810280 	 -810280 	 -810280
13 	 data_Read/seqs/real/Real13.faa 	 233 	 0 	 -11132666 	 -11132666 	 -11132666 	 -11132666 	 -11132666 	 -11132666
14 	 data_Read/seqs/real/Real14.faa 	 207 	 0 	 -25393594 	 -25393594 	 -25393594 	 -25393594 	 -25393594 	 -25393594
15 	 data_Read/seqs/real/Real15.faa 	 31 	 0 	 -181522 	 -181522 	 -181522 	 -181522 	 -181522 	 -181522
16 	 data_Read/seqs/real/Real16.faa 	 38 	 0 	 -793102 	 -793102 	 -793102 	 -793102 	 -793102 	 -793102
17 	 data_Read/seqs/real/Real17.faa 	 408 	 0 	 -49528355 	 -49528355 	 -49528355 	 -49528355 	 -49528355 	 -49528355
18 	 data_Read/seqs/real/Real18.faa 	 18 	 0 	 -151573 	 -151573 	 -151573 	 -151573 	 -151573 	 -151573
19 	 data_Read/seqs/real/Real19.faa 	 117 	 0 	 -7558387 	 -7558387 	 -7558387 	 -7558387 	 -7558387 	 -7558387
20 	 data_Read/seqs/real/Real20.faa 	 27 	 0 	 -158635 	 -158635 	 -158635 	 -158635 	 -158635 	 -158635
21 	 data_Read/seqs/real/Real21.faa 	 31 	 0 	 -392305 	 -392305 	 -392305 	 -392305 	 -392305 	 -392305
22 	 data_Read/seqs/real/Real22.faa 	 44 	 0 	 -501521 	 -501521 	 -501521 	 -501521 	 -501521 	 -501521
23 	 data_Read/seqs/real/Real23.faa 	 46 	 0 	 -1180051 	 -1180051 	 -1180051 	 -1180051 	 -1180051 	 -1180051
24 	 data_Read/seqs/real/Real24.faa 	 24 	 0 	 -113219 	 -113219 	 -113219 	 -113219 	 -113219 	 -113219
25 	 data_Read/seqs/real/Real25.faa 	 24 	 0 	 -203750 	 -203750 	 -203750 	 -203750 	 -203750 	 -203750
26 	 data_Read/seqs/real/Real26.faa 	 126 	 0 	 -7118485 	 -7118485 	 -7118485 	 -7118485 	 -7118485 	 -7118485
27 	 data_Read/seqs/real/Real27.faa 	 100 	 0 	 -5161430 	 -5161430 	 -5161430 	 -5161430 	 -5161430 	 -5161430
28 	 data_Read/seqs/real/Real28.faa 	 76 	 0 	 -3315710 	 -3315710 	 -3315710 	 -3315710 	 -3315710 	 -3315710
29 	 data_Read/seqs/real/Real29.faa 	 195 	 0 	 -8239317 	 -8239317 	 -8239317 	 -8239317 	 -8239317 	 -8239317
30 	 data_Read/seqs/real/Real30.faa 	 644 	 0 	 -45556648 	 -45556648 	 -45556648 	 -45556648 	 -45556648 	 -45556648
31 	 data_Read/seqs/real/Real31.faa 	 124 	 0 	 -2538346 	 -2538346 	 -2538346 	 -2538346 	 -2538346 	 -2538346
32 	 data_Read/seqs/real/Real32.faa 	 18 	 0 	 -39625 	 -39625 	 -39625 	 -39625 	 -39625 	 -39625
33 	 data_Read/seqs/real/Real33.faa 	 19 	 0 	 -82618 	 -82618 	 -82618 	 -82618 	 -82618 	 -82618
34 	 data_Read/seqs/real/Real34.faa 	 110 	 0 	 -2107528 	 -2107528 	 -2107528 	 -2107528 	 -2107528 	 -2107528
35 	 data_Read/seqs/real/Real35.faa 	 536 	 0 	 -41554521 	 -41554521 	 -41554521 	 -41554521 	 -41554521 	 -41554521
